,x,y
553,43220.56,43018.34
554,43147.72,43002.15
555,43136.0,42955.5
556,43200.0,43067.89
557,43200.0,43074.88
558,43273.08,43072.7
559,43232.95,43086.59
560,43217.39,43101.1
561,43261.64,42970.39
562,43174.79,42756.97
563,42975.38,42699.83
564,42953.08,42779.2
565,43029.51,42849.66
566,43084.38,42930.0
567,43080.16,42616.28
568,43100.0,42726.34
569,43150.02,42927.33
570,43233.81,43109.53
571,43423.95,43097.06
572,43383.89,43131.9
573,43385.33,43222.23
574,43484.84,43167.27
575,43423.93,43258.48
576,43753.15,43250.0
577,44199.99,43608.0
578,44329.99,43956.04
579,44134.8,43801.0
580,44029.94,43777.86
581,44225.75,43841.56
582,44114.96,43827.69
583,44109.92,43881.31
584,44152.09,43976.25
585,44419.62,44040.15
586,44437.5,43910.01
587,44079.73,43890.9
588,44690.0,44065.43
589,44589.04,44113.67
590,44459.58,44244.75
591,44729.58,44417.61
592,44469.34,44150.64
593,44355.22,44187.76
594,44328.15,44050.0
595,44248.47,44124.34
596,44233.09,43950.84
597,44284.0,43831.17
598,43957.76,42450.0
599,43972.86,43302.0
600,43616.13,43302.0
601,43770.0,43498.87
602,43577.21,43409.79
603,43551.06,43187.89
604,43629.99,43330.27
605,43655.27,43531.1
606,43723.13,43507.48
607,43734.9,43601.67
608,43926.0,43578.08
609,43926.0,43748.49
610,43875.0,43715.93
611,43947.99,43771.1
612,43911.45,43779.98
613,44324.8,43911.44
614,44185.0,43964.03
615,44157.03,43868.46
616,43968.61,43433.0
617,43914.02,43605.36
618,43916.8,43721.94
619,44110.07,43616.0
620,43988.58,43812.84
621,44096.49,43844.11
622,43998.39,43721.06
623,44062.36,43684.0
624,43800.0,43100.0
625,43801.1,43487.18
626,43764.99,43355.54
627,43592.64,43316.75
628,43518.89,43220.0
629,43413.99,43100.46
630,43627.57,43356.36
631,43644.9,43418.0
632,43690.12,43462.1
633,43680.0,43527.0
634,43808.07,43520.15
635,43721.09,43599.99
636,44357.46,43714.03
637,43971.1,43580.51
638,43954.32,43714.4
639,43991.71,43847.2
640,44048.64,43764.42
641,44318.61,43967.44
642,44156.48,43979.1
643,44214.42,44017.99
644,44120.4,43975.0
645,44094.4,43906.19
646,44047.88,43932.01
647,44009.24,43823.06
648,43957.01,43886.16
649,43943.88,43812.5
650,44018.57,43896.54
651,43971.1,43868.88
652,43932.17,43832.0
653,43871.1,43660.98
654,43780.62,43588.0
655,43700.34,43504.0
656,43659.49,43425.0
657,43615.76,43397.05
658,43668.02,43534.32
659,43744.37,43551.28
660,43711.43,43622.75
661,43750.0,43655.38
662,43756.0,43636.7
663,43700.0,43584.0
664,43771.1,43661.1
665,43705.23,43631.1
666,43701.81,43616.02
667,43750.0,43628.24
668,43701.1,43527.27
669,43690.0,43542.0
670,43740.27,43650.3
671,43870.98,43703.41
672,43920.08,43791.08
673,43897.97,43791.1
674,43898.0,43800.29
675,43978.78,43844.52
676,43907.11,43828.5
677,43932.42,43842.97
678,44000.0,43872.08
679,43999.99,43884.04
680,44148.58,43952.33
681,44017.46,43855.89
682,43940.0,43830.88
683,43961.33,43611.19
684,43902.0,43787.62
685,43907.41,43723.76
686,43935.21,43816.0
687,43928.0,43783.45
